WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
133;197;186;208;47;43;51;
127;84;80;88;31;28;35;
113;108;102;114;36;32;39;
115;110;97;122;39;33;45;
132;155;142;167;42;36;47;
141;124;111;137;44;39;49;
130;134;118;148;45;40;50;
132;142;128;155;43;38;48;
113;90;73;106;32;27;36;
112;126;107;145;42;38;46;
124;111;94;127;43;37;48;
124;114;95;133;43;36;51;
125;131;112;149;43;37;49;
128;152;135;169;45;39;50;
114;98;80;116;42;34;50;
124;134;125;143;42;37;48;
138;181;162;198;49;43;55;
115;77;67;87;32;29;36;
114;97;79;115;40;35;45;
111;126;112;140;38;33;44;
113;71;59;82;32;27;37;
134;123;108;137;42;38;46;
126;144;131;156;45;40;50;
123;121;103;138;37;31;43;
120;148;138;158;45;43;47;
111;121;106;136;42;38;46;
121;97;81;113;34;29;38;
139;211;201;220;54;52;56;
122;96;82;110;39;33;44;
114;112;99;124;39;35;42;
123;102;95;110;38;36;40;
118;101;80;121;42;34;49;
121;151;137;165;43;38;47;
111;128;118;138;35;30;40;
132;132;108;155;35;29;40;
138;260;231;287;47;40;54;
116;109;104;115;34;30;37;
117;119;105;134;36;32;40;
130;132;122;141;42;39;45;
144;218;202;233;53;51;55;
121;119;101;135;36;32;41;
120;92;83;101;38;34;41;
132;133;115;150;43;39;46;
138;173;165;181;47;44;50;
128;175;164;186;46;42;50;
128;110;102;118;38;34;43;
120;84;76;92;36;32;39;
119;134;130;138;38;37;40;
130;116;101;131;40;35;45;
113;109;102;115;37;34;40;
129;130;106;152;43;37;49;
122;154;145;162;45;43;48;
110;73;59;88;33;27;39;
118;101;82;119;36;29;42;
111;100;86;114;35;31;39;
136;144;126;160;45;40;50;
124;113;103;122;39;36;42;
134;144;131;157;44;40;48;
125;117;104;130;47;43;51;
133;129;110;149;42;35;49;
132;148;139;158;38;36;40;
132;119;107;131;39;34;44;
124;121;109;133;38;33;43;
123;137;130;144;40;35;44;
122;155;144;165;46;42;49;
124;149;135;163;50;46;53;
135;123;102;144;44;37;50;
141;111;102;120;39;35;42;
119;148;124;171;40;34;46;
125;126;106;145;42;36;49;
125;120;105;135;42;38;46;
119;108;98;118;40;37;43;
117;117;103;130;38;33;43;
136;120;108;132;43;37;48;
128;113;101;126;37;33;41;
121;121;107;134;38;33;43;
128;134;130;139;40;38;43;
117;69;59;79;34;29;38;
115;100;86;113;41;36;45;
136;146;136;156;48;43;52;
143;184;169;199;46;42;50;
136;203;183;222;49;45;53;
124;112;104;119;42;40;45;
121;77;67;87;35;31;39;
109;69;55;82;27;22;32;
120;117;108;126;35;32;39;
154;151;134;167;43;38;48;
124;146;128;163;40;33;47;
126;215;197;231;45;42;49;
106;117;101;132;31;23;38;
133;167;154;181;45;41;49;
124;148;130;165;47;42;52;
131;112;91;132;41;33;49;
116;145;130;158;43;38;48;
112;121;111;131;37;33;41;
126;156;147;164;40;38;42;
112;130;122;137;46;43;48;
121;150;136;164;43;38;47;
129;164;154;173;44;40;48;
124;139;120;157;38;32;43;
