WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
1910;407;373;439;75;73;77;
1666;299;268;327;73;69;77;
1637;412;388;433;77;74;79;
1677;362;333;388;69;65;73;
1724;367;342;390;76;75;78;
1115;344;320;367;77;75;79;
1891;381;361;399;76;75;77;
1684;375;354;395;77;74;80;
1383;316;289;340;75;73;77;
1867;248;222;272;73;69;76;
1881;502;466;534;76;74;78;
1585;323;297;346;71;69;73;
1919;272;248;293;72;69;74;
1524;220;197;241;72;67;76;
1777;400;375;424;78;76;80;
1484;326;298;353;74;74;75;
1811;372;351;392;75;72;79;
1241;230;209;250;72;70;73;
1972;429;402;451;74;72;75;
1556;319;299;338;75;73;76;
1726;277;246;303;69;66;73;
2123;428;409;444;77;76;78;
1819;350;320;378;74;71;77;
1704;336;312;359;70;65;74;
1420;367;336;396;74;69;78;
1741;384;356;409;77;77;77;
1747;353;326;377;73;70;75;
1829;497;464;527;75;73;77;
1578;317;287;346;78;74;82;
1807;375;350;398;68;64;72;
1453;275;253;295;73;72;73;
1528;464;443;483;76;76;77;
1639;387;362;409;75;71;78;
2026;423;402;442;71;69;72;
1372;325;292;354;75;72;77;
1460;296;271;320;77;75;78;
1904;341;315;363;73;71;75;
1602;335;306;362;73;70;76;
1435;429;397;460;73;69;77;
1373;355;329;381;75;72;77;
1586;377;350;401;75;72;78;
1754;530;507;551;80;79;81;
1732;392;365;416;76;75;77;
1552;321;291;351;80;75;84;
1441;327;307;346;74;72;76;
1973;271;251;289;73;71;75;
1597;339;309;366;74;74;75;
1633;295;264;322;74;71;76;
1423;312;281;340;77;75;79;
1690;406;376;434;75;71;79;
1825;380;350;407;74;71;77;
1461;423;398;446;78;77;80;
1583;251;229;272;75;74;77;
1881;442;417;465;77;75;78;
1879;309;282;332;76;73;78;
1737;361;335;385;78;75;81;
2115;504;476;530;75;71;78;
1608;435;403;464;84;82;85;
1452;290;267;311;69;68;70;
1724;343;324;361;78;77;79;
1755;355;327;381;80;78;81;
1333;339;310;365;77;73;80;
1816;320;295;343;78;75;80;
1349;348;319;376;75;74;75;
1677;393;369;415;78;75;81;
1640;367;347;385;75;73;78;
1690;354;327;378;74;71;76;
1793;351;328;373;72;69;75;
1975;416;391;439;74;71;76;
1507;270;242;295;71;68;73;
1723;435;409;459;79;78;80;
1488;383;351;414;77;75;80;
1917;276;246;302;69;66;72;
1451;275;255;294;70;67;73;
1557;276;248;302;74;71;77;
1819;400;376;421;75;75;74;
1379;268;243;291;74;72;76;
2180;416;391;439;79;78;80;
1765;469;446;490;76;75;78;
1517;399;374;422;74;72;77;
1235;257;236;276;72;68;75;
1558;418;387;446;77;75;80;
1189;418;393;442;77;75;78;
1768;413;391;433;77;77;78;
1732;261;228;290;67;64;71;
1726;315;289;338;72;72;72;
1886;341;315;364;77;76;78;
1833;477;443;509;78;75;80;
1504;350;319;377;76;72;80;
1352;371;336;403;72;68;76;
1715;381;353;408;74;71;76;
1495;323;296;347;78;76;80;
1693;257;237;275;69;66;72;
1898;375;345;401;73;68;77;
1453;307;273;338;76;74;78;
1787;279;251;303;71;68;73;
1715;415;397;431;77;77;77;
1394;357;330;383;76;74;79;
1983;300;273;324;76;75;77;
1449;268;244;289;74;69;78;
