WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
112;79;68;91;25;18;32;
122;144;132;156;28;24;32;
100;38;36;41;20;16;24;
104;23;20;26;13;10;15;
100;39;33;45;16;11;20;
104;34;28;40;15;10;20;
102;30;24;36;15;12;17;
101;43;41;45;14;13;15;
99;54;47;62;17;13;20;
99;27;22;32;11;8;13;
102;39;34;43;14;11;16;
110;64;63;64;21;19;22;
127;182;169;194;36;32;39;
142;62;52;72;23;21;26;
101;36;34;39;15;13;18;
109;24;18;30;12;8;16;
113;63;50;75;21;16;25;
106;40;38;41;14;11;17;
96;65;61;68;22;20;24;
105;64;58;70;22;19;24;
124;96;89;103;26;22;30;
99;25;24;26;13;12;14;
105;95;87;103;26;23;28;
101;80;73;87;27;24;30;
105;33;30;36;15;13;18;
98;42;37;47;17;13;20;
108;50;50;51;20;19;20;
111;48;46;51;17;15;19;
113;58;52;64;19;16;22;
106;78;74;83;19;16;22;
109;81;78;85;23;21;25;
135;121;114;129;33;29;37;
107;54;52;57;19;15;23;
102;40;37;43;18;16;20;
105;43;40;47;21;17;24;
107;52;37;66;19;13;25;
130;84;79;89;22;18;25;
105;102;99;106;31;28;33;
109;36;27;45;14;11;17;
107;36;28;44;17;14;20;
102;64;64;64;19;16;22;
115;84;80;88;29;27;32;
100;36;32;41;11;9;13;
100;39;36;41;18;15;20;
103;38;33;44;17;14;19;
156;90;83;96;34;30;37;
127;90;81;99;34;29;38;
105;51;41;61;22;18;26;
114;116;112;120;23;21;25;
120;42;42;43;18;16;20;
201;62;52;72;24;18;30;
105;65;62;68;22;20;24;
100;56;55;57;16;14;17;
95;33;32;34;14;13;15;
120;110;100;119;33;29;36;
109;66;55;76;24;19;29;
102;43;37;49;16;14;18;
109;41;41;42;20;18;21;
123;116;111;120;27;25;28;
102;42;36;48;17;13;20;
128;92;81;102;25;22;28;
96;44;34;54;18;14;23;
100;39;36;42;17;14;19;
139;108;107;109;32;31;34;
122;116;102;129;29;25;32;
105;42;37;47;15;12;17;
94;46;38;53;16;13;19;
112;123;120;126;36;33;38;
116;51;45;56;18;16;21;
97;18;15;21;8;5;10;
133;75;60;89;29;24;34;
106;63;55;70;23;20;26;
102;31;25;37;13;10;16;
103;43;37;49;17;13;21;
115;79;79;80;27;26;29;
130;82;84;81;24;23;25;
136;101;90;112;30;24;35;
99;36;29;44;17;12;22;
98;34;32;36;12;10;14;
98;22;18;25;10;7;13;
95;37;35;40;19;17;21;
93;31;29;33;10;9;12;
116;46;39;52;20;18;22;
108;82;78;87;22;20;24;
98;53;46;60;17;14;20;
119;61;52;69;23;18;27;
104;43;40;46;16;14;18;
104;53;47;60;20;17;22;
116;48;33;63;22;15;30;
123;61;56;67;25;22;28;
98;50;44;56;17;15;20;
101;36;27;45;15;10;20;
93;62;60;64;18;15;21;
101;35;30;39;17;14;19;
108;78;72;84;24;21;27;
104;46;43;48;12;11;13;
103;33;30;36;15;13;16;
121;55;48;62;23;20;27;
110;57;55;60;20;16;24;
105;16;15;18;9;7;12;
