WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
195;261;237;283;70;66;73;
207;338;307;368;72;66;77;
210;314;287;339;63;58;68;
198;298;276;319;69;66;72;
214;288;260;313;74;72;76;
222;264;238;288;71;69;74;
196;218;199;236;67;61;72;
271;311;285;335;63;58;67;
264;542;505;576;74;70;77;
212;328;307;347;67;65;69;
216;285;255;313;65;59;71;
242;291;265;314;70;66;74;
274;286;256;313;69;65;72;
270;416;392;438;73;70;76;
258;311;290;330;74;71;76;
257;247;220;272;71;68;74;
202;386;364;407;73;70;76;
203;183;160;205;61;57;65;
251;437;416;458;69;66;71;
193;324;300;346;68;64;72;
218;234;195;271;61;55;67;
186;211;188;232;63;59;67;
215;262;226;295;65;60;69;
236;237;218;254;64;60;66;
189;381;348;412;66;61;71;
313;397;377;415;67;63;71;
180;231;210;251;74;70;77;
290;205;193;218;65;60;69;
189;212;178;244;68;62;74;
249;303;278;325;72;70;75;
268;353;336;369;74;72;76;
240;322;296;347;68;63;74;
227;270;243;295;63;56;69;
210;255;233;276;65;62;69;
217;278;260;296;60;54;65;
203;274;248;299;65;62;68;
202;221;197;244;63;59;66;
177;247;226;268;68;63;72;
187;292;274;308;70;67;72;
184;347;320;371;69;64;74;
304;577;547;604;74;71;76;
220;362;334;388;72;68;76;
243;390;363;415;74;71;77;
170;251;230;271;69;62;75;
258;270;242;296;71;68;74;
220;198;174;220;61;54;67;
241;252;228;275;68;64;71;
186;224;204;243;65;58;70;
204;277;244;308;65;57;73;
228;389;361;416;72;66;78;
192;304;278;329;70;66;73;
299;381;348;412;72;68;76;
223;262;235;287;68;64;72;
185;239;221;256;62;56;68;
212;218;185;249;63;55;71;
223;241;219;261;70;66;73;
211;251;221;279;68;63;73;
193;300;275;324;70;65;74;
248;329;299;356;70;68;72;
187;292;266;317;66;63;69;
268;227;208;244;63;61;64;
236;320;282;355;68;63;73;
215;245;220;268;70;66;73;
197;244;214;271;69;64;73;
225;253;226;277;68;63;73;
248;267;243;288;65;61;68;
227;283;268;298;69;67;71;
272;319;300;337;74;71;77;
212;217;188;243;64;57;70;
189;261;242;279;67;63;70;
218;206;173;236;63;59;67;
239;378;358;396;70;67;72;
227;257;224;288;59;52;66;
206;308;285;330;65;61;68;
193;233;210;255;61;54;67;
202;261;234;287;63;59;67;
178;200;182;218;65;60;71;
197;306;273;338;71;67;75;
211;371;352;389;67;64;70;
188;265;242;288;68;64;72;
249;357;343;370;67;65;70;
236;374;341;404;72;68;76;
223;218;199;236;67;62;71;
238;287;265;307;61;57;65;
214;259;237;280;67;64;70;
189;217;195;239;67;61;72;
226;174;151;195;66;62;71;
210;283;261;305;71;66;75;
221;299;274;322;64;57;71;
188;233;214;252;65;60;69;
245;321;290;350;67;62;71;
296;415;393;435;73;71;76;
226;234;206;258;64;62;66;
228;287;260;313;64;55;72;
232;338;320;355;70;68;72;
218;250;219;279;71;67;75;
186;241;212;268;67;60;73;
205;237;214;258;69;65;73;
167;272;250;294;74;69;79;
215;274;256;292;70;65;74;
