WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
113;50;45;54;16;14;18;
141;83;72;94;23;19;28;
114;36;36;37;15;14;15;
111;42;38;47;15;13;18;
138;49;48;51;18;16;21;
114;40;39;42;16;15;17;
104;33;32;35;12;11;12;
111;32;26;37;13;10;16;
121;34;31;37;15;12;17;
121;62;58;66;20;19;21;
115;45;41;48;14;13;15;
107;17;17;17;8;7;8;
129;47;43;50;17;16;18;
133;68;63;73;27;24;29;
111;26;21;31;9;6;13;
112;19;18;20;9;8;10;
107;23;22;24;12;11;13;
119;48;41;55;14;11;17;
119;34;33;34;16;16;17;
109;39;36;42;15;13;17;
123;49;50;48;19;18;20;
112;42;40;45;17;16;18;
120;46;40;52;19;17;22;
140;36;34;37;16;15;16;
112;42;45;40;16;17;15;
110;51;45;57;18;15;22;
103;36;35;37;11;9;13;
121;142;143;142;25;24;27;
150;107;96;119;25;24;26;
132;46;41;51;21;20;21;
109;35;27;42;12;9;16;
112;81;75;86;24;22;26;
120;67;65;70;25;24;26;
157;132;127;138;33;31;34;
112;46;43;49;12;10;14;
112;56;54;57;13;12;13;
108;19;15;23;9;8;11;
112;30;28;32;10;9;12;
120;54;48;60;20;19;21;
235;65;59;70;21;19;23;
119;49;47;52;14;12;15;
118;57;55;58;23;21;24;
111;32;28;35;12;11;13;
112;35;31;39;14;12;17;
129;31;26;36;14;11;17;
119;37;31;44;13;11;15;
129;80;73;87;25;22;29;
112;19;17;21;9;8;11;
104;9;5;12;4;2;6;
150;63;60;66;20;18;23;
113;57;54;60;17;15;19;
120;20;19;20;10;8;13;
106;39;35;43;13;11;16;
242;119;110;128;33;32;35;
115;46;40;51;16;13;18;
141;37;35;40;15;14;16;
163;47;42;51;19;16;22;
111;38;31;44;15;11;18;
138;98;96;101;26;25;27;
104;19;18;19;9;8;11;
112;58;48;67;18;16;20;
116;38;33;43;15;13;17;
112;83;81;84;27;27;28;
109;37;33;41;15;13;16;
111;61;61;60;21;20;22;
121;58;55;62;21;21;21;
112;51;48;54;21;19;22;
123;100;94;105;30;26;33;
122;52;49;56;21;20;21;
111;38;33;44;15;12;18;
105;29;22;35;12;11;14;
139;38;37;40;17;15;18;
110;24;20;27;11;9;12;
153;56;55;56;18;18;18;
129;48;45;51;19;17;21;
111;33;31;35;11;11;11;
107;54;52;56;15;15;16;
129;41;38;43;14;13;16;
112;20;21;20;9;9;8;
118;32;29;35;16;14;17;
98;17;10;23;9;5;12;
108;18;16;19;9;9;10;
123;39;38;41;16;16;16;
122;58;51;66;21;20;23;
122;54;47;61;18;14;21;
116;24;22;26;11;8;13;
112;49;45;53;14;12;16;
118;42;39;45;15;13;17;
118;59;52;66;22;18;25;
114;48;45;51;12;11;14;
117;23;20;26;9;6;11;
123;78;71;85;24;22;27;
124;49;49;50;20;20;20;
124;85;81;89;20;18;23;
117;39;32;46;15;11;18;
147;77;69;84;23;21;26;
166;59;54;64;22;20;23;
113;59;59;59;18;18;19;
111;43;45;41;13;13;13;
115;59;57;61;17;14;20;
