WaitingTime;Delay;DelayPR;DelayCS;OneMin;OneMinCS;OneMinPR;
711;304;270;336;73;68;78;
833;304;279;327;72;69;75;
708;295;276;312;73;71;75;
937;259;237;279;72;70;75;
928;338;310;364;69;65;72;
1171;390;356;420;75;71;78;
574;266;241;288;66;62;69;
906;377;348;402;77;76;78;
1003;432;400;460;76;74;78;
525;305;275;333;73;71;76;
775;296;264;324;77;73;80;
888;411;379;441;77;75;80;
774;286;263;308;76;75;76;
733;294;275;312;73;74;73;
1228;307;277;333;68;64;71;
853;371;345;394;76;74;78;
1349;483;458;504;77;74;79;
759;390;364;414;76;74;79;
483;321;295;346;73;71;76;
1071;506;479;529;72;70;75;
695;313;291;333;73;70;76;
547;233;210;255;69;65;73;
822;286;262;307;71;70;71;
813;331;303;356;67;62;71;
606;324;308;340;74;73;75;
678;292;256;325;75;71;78;
888;422;405;438;74;72;76;
900;387;359;412;73;70;76;
581;346;322;369;76;74;77;
949;310;278;338;70;66;74;
741;350;325;374;73;71;75;
566;399;362;433;72;67;77;
728;282;253;308;75;73;77;
808;385;360;408;78;75;80;
673;293;261;322;72;68;75;
711;405;374;434;78;76;80;
754;307;285;327;72;69;75;
871;469;447;490;77;75;79;
771;306;279;330;75;74;75;
715;278;245;309;70;65;75;
673;453;430;474;78;76;79;
1161;374;349;397;71;67;74;
558;330;307;352;77;76;78;
716;349;330;368;73;71;75;
1065;435;402;465;76;73;78;
1063;441;407;472;73;69;76;
1017;436;393;475;76;72;79;
953;499;474;522;78;76;79;
1173;449;432;465;75;71;78;
573;331;299;361;77;75;80;
883;291;270;311;73;71;75;
715;329;305;351;74;70;77;
711;243;219;265;70;66;73;
776;299;275;320;75;74;76;
994;350;314;383;79;76;82;
838;402;375;426;73;71;75;
814;330;301;356;72;71;74;
745;329;302;353;68;64;71;
654;369;345;391;76;73;78;
837;328;292;361;78;76;80;
786;416;390;441;75;71;79;
817;541;510;569;76;75;77;
765;342;303;378;75;71;79;
683;408;369;445;79;75;82;
738;314;284;342;73;69;77;
602;241;217;264;69;66;71;
892;320;291;346;71;66;75;
858;330;302;357;70;64;76;
664;267;240;293;71;67;74;
936;382;355;406;73;72;74;
816;314;288;338;72;69;75;
650;275;244;304;76;73;79;
843;367;338;393;74;71;76;
700;339;311;365;74;71;76;
812;257;234;279;71;70;72;
981;314;287;338;75;70;79;
899;465;419;506;76;74;78;
967;303;285;320;73;72;74;
947;309;288;328;78;77;79;
758;355;327;381;77;74;80;
829;358;327;387;74;73;75;
1029;253;227;277;68;63;72;
985;410;378;439;75;72;78;
680;369;341;397;72;68;75;
595;313;280;342;71;68;73;
914;364;337;388;75;73;76;
800;420;392;446;75;72;77;
746;276;247;304;70;64;76;
669;338;317;357;71;68;73;
858;358;332;383;71;69;74;
984;357;328;382;75;72;78;
654;267;241;291;76;74;78;
757;312;281;341;74;71;76;
1119;392;361;420;71;69;73;
756;471;438;502;76;74;78;
471;312;286;338;77;75;78;
650;274;250;297;71;68;74;
778;302;268;334;71;66;75;
1073;324;295;350;70;67;73;
926;312;281;341;69;67;72;
